City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Carutapera,BR,2022-05-02 08:56:11,-1.195,-46.02,75.27,93,99,4.09
1,Novaya Zaimka,RU,2022-05-02 08:56:12,56.4857,66.9241,46.36,31,100,17.83
2,Hermanus,ZA,2022-05-02 08:56:12,-34.4187,19.2345,71.8,51,41,4.05
3,East London,ZA,2022-05-02 08:56:13,-33.0153,27.9116,70.74,64,0,4.61
4,Jamestown,US,2022-05-02 08:55:13,42.097,-79.2353,53.24,95,100,9.22
5,Carnarvon,AU,2022-05-02 08:56:14,-24.8667,113.6333,84.27,32,0,19.57
6,Hobart,AU,2022-05-02 08:56:15,-42.8794,147.3294,64.26,68,75,13.8
7,Nikolskoye,RU,2022-05-02 08:56:16,59.7035,30.7861,51.69,41,56,8.93
8,Anadyr,RU,2022-05-02 08:56:16,64.75,177.4833,21.7,79,0,8.95
9,Lagoa,PT,2022-05-02 08:56:17,39.05,-27.9833,60.08,84,11,4.68
10,Albany,US,2022-05-02 08:56:18,42.6001,-73.9662,54.63,75,100,4.56
11,Pevek,RU,2022-05-02 08:56:18,69.7008,170.3133,10.24,92,95,3.67
12,Rikitea,PF,2022-05-02 08:56:19,-23.1203,-134.9692,76.69,74,96,8.9
13,Villeneuve-Sur-Lot,FR,2022-05-02 08:56:20,44.5,0.6667,59.05,84,99,4.65
14,Mataura,NZ,2022-05-02 08:56:21,-46.1927,168.8643,52.48,80,28,2.24
15,Butaritari,KI,2022-05-02 08:56:22,3.0707,172.7902,81.54,80,19,14.03
16,Bredasdorp,ZA,2022-05-02 08:56:22,-34.5322,20.0403,69.26,52,44,6.78
17,Sarandi,BR,2022-05-02 08:56:23,-23.4436,-51.8739,64.33,87,39,3.18
18,Cherskiy,RU,2022-05-02 08:56:23,68.75,161.3,28.11,92,62,2.71
19,Vera Cruz,BR,2022-05-02 08:56:24,-12.6333,-41.0333,63.97,98,6,0.85
20,Punta Arenas,CL,2022-05-02 08:56:25,-53.15,-70.9167,37.51,87,75,10.36
21,Geraldton,AU,2022-05-02 08:56:26,-28.7667,114.6,73.81,60,0,19.57
22,Raton,US,2022-05-02 08:56:26,36.9034,-104.4391,47.05,64,0,6.89
23,Barrow,US,2022-05-02 08:56:27,71.2906,-156.7887,17.62,86,100,13.8
24,Bandarbeyla,SO,2022-05-02 08:56:28,9.4942,50.8122,91.96,56,4,16.2
25,Aykhal,RU,2022-05-02 08:56:28,66.0,111.5,31.17,83,100,19.75
26,Kidal,ML,2022-05-02 08:56:29,18.4411,1.4078,87.49,11,0,13.6
27,Grindavik,IS,2022-05-02 08:56:30,63.8424,-22.4338,41.47,70,0,5.75
28,Busselton,AU,2022-05-02 08:56:31,-33.65,115.3333,65.73,58,22,13.02
29,Evensk,RU,2022-05-02 08:56:32,61.95,159.2333,29.59,88,29,10.8
30,Los Llanos De Aridane,ES,2022-05-02 08:56:33,28.6585,-17.9182,68.13,50,0,17.27
31,Telsiai,LT,2022-05-02 08:56:33,55.9814,22.2472,50.41,53,20,6.26
32,Cabo San Lucas,MX,2022-05-02 08:55:26,22.8909,-109.9124,67.6,48,4,3.0
33,Chuy,UY,2022-05-02 08:56:35,-33.6971,-53.4616,52.59,75,100,6.85
34,Yellowknife,CA,2022-05-02 08:56:35,62.456,-114.3525,32.56,74,0,9.22
35,Portland,US,2022-05-02 08:53:31,45.5234,-122.6762,55.78,75,100,10.0
36,Rassvet,RU,2022-05-02 08:56:36,46.8333,40.75,54.16,69,100,1.12
37,Hilo,US,2022-05-02 08:56:37,19.7297,-155.09,73.27,96,75,6.91
38,Yambio,SS,2022-05-02 08:54:22,4.5721,28.3955,85.86,48,97,6.26
39,Kawalu,ID,2022-05-02 08:56:38,-7.3817,108.2082,81.25,84,99,4.05
40,Ushuaia,AR,2022-05-02 08:56:39,-54.8,-68.3,42.46,61,0,24.16
41,Cape Town,ZA,2022-05-02 08:56:40,-33.9258,18.4232,74.88,55,0,2.3
42,Codrington,AU,2022-05-02 08:57:41,-38.2667,141.9667,62.08,70,100,8.57
43,Longyearbyen,SJ,2022-05-02 08:57:42,78.2186,15.6401,12.04,67,40,8.05
44,Capao Da Canoa,BR,2022-05-02 08:57:42,-29.7456,-50.0097,64.08,74,100,6.91
45,Touros,BR,2022-05-02 08:57:43,-5.1989,-35.4608,77.45,87,52,10.8
46,Iqaluit,CA,2022-05-02 08:57:44,63.7506,-68.5145,20.93,93,100,3.44
47,Dikson,RU,2022-05-02 08:57:44,73.5069,80.5464,19.26,75,100,16.75
48,Leningradskiy,RU,2022-05-02 08:57:45,69.3833,178.4167,10.63,93,99,5.68
49,Lower Hutt,NZ,2022-05-02 08:57:46,-41.2167,174.9167,64.31,89,75,17.27
50,Kodiak,US,2022-05-02 08:57:47,57.79,-152.4072,37.72,86,100,11.65
51,New Norfolk,AU,2022-05-02 08:57:47,-42.7826,147.0587,63.9,69,100,5.99
52,Ribeira Grande,PT,2022-05-02 08:57:48,38.5167,-28.7,63.0,77,75,6.91
53,Victoria,HK,2022-05-02 08:55:05,22.2855,114.1577,70.18,77,100,10.0
54,Gigmoto,PH,2022-05-02 08:57:49,13.7796,124.39,82.74,73,94,7.29
55,Dakoro,NE,2022-05-02 08:57:50,14.5106,6.765,98.55,8,50,9.26
56,San Jeronimo,PE,2022-05-02 08:57:51,-11.9472,-75.2829,43.38,89,49,0.43
57,Tautira,PF,2022-05-02 08:57:51,-17.7333,-149.15,79.66,76,39,7.56
58,Talnakh,RU,2022-05-02 08:57:52,69.4865,88.3972,27.21,86,100,9.82
59,Karaj,IR,2022-05-02 08:57:42,35.8355,51.0103,71.76,45,75,9.22
60,Hamilton,US,2022-05-02 08:56:56,39.1834,-84.5333,51.44,89,13,4.47
61,Port Lincoln,AU,2022-05-02 08:57:54,-34.7333,135.8667,61.56,74,0,9.08
62,Urengoy,RU,2022-05-02 08:57:00,65.9667,78.3667,30.61,97,93,5.12
63,Vestmannaeyjar,IS,2022-05-02 08:57:55,63.4427,-20.2734,45.59,81,75,23.02
64,Phayuha Khiri,TH,2022-05-02 08:57:56,15.4553,100.1353,86.97,39,84,15.21
65,Nanortalik,GL,2022-05-02 08:57:57,60.1432,-45.2371,35.01,93,100,1.07
66,Sao Filipe,CV,2022-05-02 08:57:58,14.8961,-24.4956,73.69,71,18,7.76
67,Kavaratti,IN,2022-05-02 08:57:59,10.5669,72.642,85.1,70,71,13.76
68,Port Blair,IN,2022-05-02 08:57:59,11.6667,92.75,89.64,62,40,4.61
69,Ponta Do Sol,PT,2022-05-02 08:58:00,32.6667,-17.1,69.71,74,1,3.29
70,Mudgal,IN,2022-05-02 08:58:01,16.0167,76.4333,99.59,17,86,8.97
71,Souillac,MU,2022-05-02 08:58:01,-20.5167,57.5167,82.78,74,40,6.91
72,Ancud,CL,2022-05-02 08:58:02,-41.8697,-73.8203,46.53,91,1,3.33
73,Port Hedland,AU,2022-05-02 08:58:03,-20.3167,118.5667,89.65,40,100,9.22
74,Morondava,MG,2022-05-02 08:58:04,-20.2833,44.2833,83.73,44,0,5.5
75,Lasa,IT,2022-05-02 08:58:05,46.6166,10.7002,51.69,66,85,1.54
76,Spydeberg,NO,2022-05-02 08:58:06,59.6171,11.0856,56.53,45,43,8.01
77,Saldanha,ZA,2022-05-02 08:58:07,-33.0117,17.9442,69.85,43,98,2.84
78,Dubuque,US,2022-05-02 08:56:43,42.4833,-90.8668,45.5,64,100,11.43
79,Rocha,UY,2022-05-02 08:58:08,-34.4833,-54.3333,53.92,63,100,5.79
80,Broken Hill,AU,2022-05-02 08:58:09,-31.95,141.4333,58.71,63,0,8.05
81,Khani,GE,2022-05-02 08:58:10,41.9563,42.9566,47.77,99,100,2.48
82,Avera,US,2022-05-02 08:58:11,33.194,-82.5271,65.55,96,100,4.81
83,Sakhon Nakhon,TH,2022-05-02 08:58:12,17.1612,104.1472,66.15,88,75,5.75
84,Necochea,AR,2022-05-02 08:58:13,-38.5473,-58.7368,46.54,66,78,2.89
85,Tsurib,RU,2022-05-02 08:58:14,42.2368,46.8307,48.72,90,100,2.84
86,Cabra,ES,2022-05-02 08:59:15,37.4725,-4.4421,59.63,60,0,10.09
87,Bathsheba,BB,2022-05-02 08:59:15,13.2167,-59.5167,77.61,88,20,16.11
88,Mareeba,AU,2022-05-02 08:59:16,-17.0,145.4333,72.32,97,14,3.24
89,Soligalich,RU,2022-05-02 08:59:17,59.0778,42.2864,47.75,54,99,8.79
90,Rudbar,AF,2022-05-02 08:59:18,30.15,62.6,96.64,13,0,13.02
91,Samarkand,UZ,2022-05-02 08:57:57,39.6542,66.9597,74.62,43,40,4.61
92,Yarmouth,US,2022-05-02 08:59:19,41.7057,-70.2286,49.01,83,44,5.99
93,Severo-Kurilsk,RU,2022-05-02 08:59:19,50.6789,156.125,34.61,92,37,4.36
94,Faanui,PF,2022-05-02 08:59:20,-16.4833,-151.75,81.03,74,95,10.09
95,Priargunsk,RU,2022-05-02 08:59:21,50.3691,119.1012,71.26,23,98,15.23
96,Chauk,MM,2022-05-02 08:59:22,20.8833,94.8167,92.86,39,3,26.11
97,Esperance,AU,2022-05-02 08:59:23,-33.8667,121.9,67.84,75,96,14.09
98,Ambanja,MG,2022-05-02 08:59:24,-13.6833,48.45,85.14,66,9,5.39
99,Nohar,IN,2022-05-02 08:59:24,29.1833,74.7667,112.77,7,0,16.67
100,Okha,RU,2022-05-02 08:59:25,53.5739,142.9478,30.99,92,43,7.96
101,Santa Cruz,BO,2022-05-02 08:59:26,-17.8,-63.1667,71.06,94,40,4.61
102,Avarua,CK,2022-05-02 08:59:27,-21.2078,-159.775,80.65,78,20,5.75
103,Tarnalelesz,HU,2022-05-02 08:59:28,48.05,20.1833,64.74,50,36,2.33
104,Palmer,US,2022-05-02 08:59:29,42.1584,-72.3287,51.24,70,100,2.59
105,Monrovia,LR,2022-05-02 08:59:30,6.3005,-10.7969,82.67,78,99,3.2
106,Port Elizabeth,ZA,2022-05-02 08:59:31,-33.918,25.5701,73.09,63,0,14.0
107,Wilmington,US,2022-05-02 08:59:32,34.2257,-77.9447,69.85,83,20,4.61
108,Tecoanapa,MX,2022-05-02 08:59:33,16.5167,-98.75,77.85,63,85,4.56
109,Shimoda,JP,2022-05-02 08:59:34,34.6667,138.95,66.56,55,65,19.39
110,Chapais,CA,2022-05-02 08:59:35,49.7834,-74.8492,37.18,95,81,7.83
111,Sitka,US,2022-05-02 08:59:37,57.0531,-135.33,44.49,76,100,0.0
112,Bluff,NZ,2022-05-02 08:59:37,-46.6,168.3333,52.81,77,97,7.74
113,Yarada,IN,2022-05-02 08:55:29,17.65,83.2667,95.32,55,20,9.22
114,Luderitz,NA,2022-05-02 08:59:39,-26.6481,15.1594,84.25,23,0,11.23
115,Uige,AO,2022-05-02 08:59:40,-7.6087,15.0613,73.42,83,40,6.91
116,Bengkulu,ID,2022-05-02 08:59:41,-3.8004,102.2655,84.9,69,100,6.91
117,Port Alfred,ZA,2022-05-02 08:59:42,-33.5906,26.891,71.19,74,13,1.99
118,Kavieng,PG,2022-05-02 08:59:42,-2.5744,150.7967,83.52,76,100,8.34
119,Svetlogorsk,BY,2022-05-02 08:59:43,52.6333,29.7333,57.09,67,100,11.23
120,Vaini,TO,2022-05-02 08:59:44,-21.2,-175.2,77.16,94,75,11.5
121,Odweyne,SO,2022-05-02 08:59:45,9.4092,45.064,84.0,44,22,5.5
122,Magadan,RU,2022-05-02 08:59:46,59.5667,150.8,32.18,90,90,4.7
123,Mar Del Plata,AR,2022-05-02 08:55:12,-38.0023,-57.5575,51.87,67,100,5.99
124,Hovd,MN,2022-05-02 08:59:47,48.0056,91.6419,72.7,7,99,5.14
125,Tasiilaq,GL,2022-05-02 08:59:48,65.6145,-37.6368,20.57,72,99,4.14
126,Samarai,PG,2022-05-02 08:59:49,-10.6167,150.6667,81.84,77,36,8.66
127,San Patricio,US,2022-05-02 08:59:50,28.017,-97.5169,78.89,88,95,12.03
128,Veinticinco De Mayo,AR,2022-05-02 08:59:51,-35.4323,-60.1727,39.97,96,16,6.76
129,Mongomo,GQ,2022-05-02 08:59:52,1.6274,11.3135,74.34,92,96,0.4
130,Vanavara,RU,2022-05-02 08:59:52,60.34,102.2797,38.17,55,100,13.04
131,Katsuura,JP,2022-05-02 08:59:53,35.1333,140.3,59.4,68,78,13.65
132,Saskylakh,RU,2022-05-02 08:59:54,71.9167,114.0833,22.6,87,19,7.47
133,Narsaq,GL,2022-05-02 09:01:00,60.9167,-46.05,43.02,75,100,2.46
134,Atuona,PF,2022-05-02 09:01:02,-9.8,-139.0333,78.33,82,100,14.34
135,Qom,IR,2022-05-02 09:01:03,34.6401,50.8764,78.91,20,49,6.67
136,Ilinskiy,RU,2022-05-02 09:01:04,55.619,38.1182,55.78,30,0,4.47
137,Hithadhoo,MV,2022-05-02 09:01:05,-0.6,73.0833,85.5,75,39,19.55
138,Dhampur,IN,2022-05-02 09:01:06,29.3167,78.5167,105.82,16,3,6.26
139,Cap Malheureux,MU,2022-05-02 09:01:07,-19.9842,57.6142,85.46,63,2,8.99
140,Champasak,LA,2022-05-02 09:01:07,14.75,106.0,74.91,91,100,1.32
141,Boddam,GB,2022-05-02 09:01:08,57.4667,-1.7833,50.38,78,73,15.95
142,Tabas,IR,2022-05-02 09:01:09,33.5959,56.9244,84.83,24,16,4.68
143,Vardo,NO,2022-05-02 09:01:09,70.3705,31.1107,30.18,86,75,18.41
144,Gat,IL,2022-05-02 09:00:02,31.61,34.7642,85.78,22,4,3.8
145,Yeppoon,AU,2022-05-02 09:01:10,-23.1333,150.7333,74.98,81,100,16.08
146,Vlagtwedde,NL,2022-05-02 09:01:11,53.0275,7.1083,58.98,60,6,4.16
147,Muscat,OM,2022-05-02 09:00:02,23.6139,58.5922,94.51,34,0,8.43
148,Tomatlan,MX,2022-05-02 09:01:12,19.9333,-105.25,64.78,86,61,2.39
149,Manokwari,ID,2022-05-02 09:01:13,-0.8667,134.0833,81.59,76,72,1.54
150,Englewood,US,2022-05-02 09:01:01,39.6478,-104.9878,45.34,91,100,5.01
151,Fortuna,US,2022-05-02 09:01:14,40.5982,-124.1573,49.12,94,100,0.0
152,Longyan,CN,2022-05-02 09:01:15,25.1072,117.0225,61.72,87,100,3.13
153,Torbay,CA,2022-05-02 09:01:15,47.6666,-52.7314,38.75,96,100,6.91
154,Arraial Do Cabo,BR,2022-05-02 09:01:16,-22.9661,-42.0278,67.86,94,20,3.44
155,Vila,PT,2022-05-02 09:01:17,42.0304,-8.1588,49.08,71,43,5.68
156,Belaya Gora,RU,2022-05-02 09:01:18,68.5333,146.4167,31.82,92,100,3.69
157,Pisco,PE,2022-05-02 09:01:19,-13.7,-76.2167,62.02,88,53,3.74
158,Masuri,KR,2022-05-02 09:01:20,35.8488,128.1492,60.35,38,34,9.6
159,Karlstadt,DE,2022-05-02 09:01:20,49.9603,9.7722,62.42,67,86,7.58
160,Gannan,CN,2022-05-02 09:01:21,47.9147,123.5031,59.2,38,100,10.76
161,Namibe,AO,2022-05-02 09:01:22,-15.1961,12.1522,79.09,61,24,1.83
162,Drawsko Pomorskie,PL,2022-05-02 09:01:23,53.5306,15.8097,57.07,45,23,1.01
163,Merrill,US,2022-05-02 09:01:23,45.1805,-89.6835,41.9,97,100,5.75
164,Santa Maria,BR,2022-05-02 09:01:24,-29.6842,-53.8069,55.65,98,100,7.94
165,Castro,BR,2022-05-02 09:01:25,-24.7911,-50.0119,59.67,89,79,1.81
166,Airai,TL,2022-05-02 09:01:25,-8.9266,125.4092,66.36,74,36,3.47
167,Alindao,CF,2022-05-02 09:01:26,5.0267,21.2088,86.45,54,100,7.36
168,Lompoc,US,2022-05-02 08:57:19,34.6391,-120.4579,52.63,79,100,15.01
169,Saint George,US,2022-05-02 08:56:53,37.1041,-113.5841,58.95,41,0,7.0
170,Mount Isa,AU,2022-05-02 09:01:28,-20.7333,139.5,80.37,47,40,6.91
171,General Cepeda,MX,2022-05-02 09:01:28,25.3833,-101.45,74.07,31,31,5.19
172,Kingisepp,RU,2022-05-02 09:01:29,59.3733,28.6134,50.47,46,61,6.98
173,Vila Velha,BR,2022-05-02 08:57:51,-20.3297,-40.2925,73.35,91,0,3.44
174,Ust-Tsilma,RU,2022-05-02 09:01:30,65.441,52.1498,33.51,67,100,10.63
175,Rize,TR,2022-05-02 09:01:31,40.9044,40.8949,37.38,97,100,3.76
176,Coihaique,CL,2022-05-02 08:59:58,-45.5752,-72.0662,40.95,93,0,5.75
177,Cayenne,GF,2022-05-02 09:01:01,4.9333,-52.3333,81.09,1,100,1.99
178,Keetmanshoop,NA,2022-05-02 09:01:33,-26.5833,18.1333,74.88,15,0,12.97
179,Geilo,NO,2022-05-02 09:01:33,60.5333,8.2076,41.4,68,100,9.13
180,Puerto Ayora,EC,2022-05-02 09:02:34,-0.7393,-90.3518,71.2,93,58,3.06
181,Qaanaaq,GL,2022-05-02 09:02:34,77.484,-69.3632,9.14,65,99,7.45
182,Taksimo,RU,2022-05-02 09:02:35,56.3444,114.8794,38.43,40,43,8.7
183,La Ronge,CA,2022-05-02 09:02:36,55.1001,-105.2842,30.29,94,100,7.9
184,Ozernovskiy,RU,2022-05-02 09:02:36,51.5,156.5167,34.5,94,93,5.59
185,Jumla,NP,2022-05-02 09:02:37,29.2747,82.1838,64.69,56,93,4.43
186,Harper,LR,2022-05-02 09:02:38,4.375,-7.7169,84.27,73,80,4.83
187,Bonavista,CA,2022-05-02 09:02:39,48.6499,-53.1147,36.57,95,100,7.14
188,Mountain Home,US,2022-05-02 08:58:48,43.133,-115.6912,44.31,79,12,3.18
189,Chokurdakh,RU,2022-05-02 09:02:40,70.6333,147.9167,17.91,95,38,5.32
190,Sfantu Gheorghe,RO,2022-05-02 09:02:40,45.8667,25.7833,63.82,48,26,5.12
191,Coquimbo,CL,2022-05-02 09:02:37,-29.9533,-71.3436,57.16,79,95,2.39
192,Wenling,CN,2022-05-02 09:02:41,28.3669,121.36,63.36,71,57,6.87
193,Zalantun,CN,2022-05-02 09:02:42,48.0,122.7167,60.28,51,100,11.34
194,Panzhihua,CN,2022-05-02 09:02:43,26.5851,101.7128,63.66,53,98,2.82
195,Palembang,ID,2022-05-02 08:58:17,-2.9167,104.7458,89.69,62,75,6.91
196,Srednekolymsk,RU,2022-05-02 09:02:44,67.45,153.6833,31.71,91,100,1.83
197,Cabedelo,BR,2022-05-02 09:02:45,-6.9811,-34.8339,78.48,85,83,9.84
198,Khatanga,RU,2022-05-02 09:02:46,71.9667,102.5,25.21,78,100,12.48
199,Maningrida,AU,2022-05-02 09:02:46,-12.0667,134.2667,84.56,66,77,13.56
200,Rawson,AR,2022-05-02 09:01:37,-43.3002,-65.1023,50.86,66,91,3.47
201,Mangai,CD,2022-05-02 09:02:47,-4.05,19.5333,85.33,54,84,3.94
202,Epe,NG,2022-05-02 09:02:48,6.5841,3.9834,87.39,63,93,7.16
203,Thompson,CA,2022-05-02 09:02:49,55.7435,-97.8558,18.59,94,98,8.03
204,Mount Gambier,AU,2022-05-02 09:02:50,-37.8333,140.7667,58.64,74,82,6.29
205,Kaspiyskiy,RU,2022-05-02 09:02:50,45.3929,47.3707,62.92,49,87,18.32
206,Saint Anthony,US,2022-05-02 09:02:51,45.0205,-93.218,42.4,84,100,11.5
207,Kapaa,US,2022-05-02 09:02:52,22.0752,-159.319,72.12,84,35,1.01
208,Bilibino,RU,2022-05-02 09:02:53,68.0546,166.4372,16.88,85,17,3.8
209,Yumen,CN,2022-05-02 09:02:54,40.2833,97.2,74.05,4,2,12.86
210,Isangel,VU,2022-05-02 09:02:54,-19.55,169.2667,79.02,90,24,5.82
211,Saryg-Sep,RU,2022-05-02 09:02:55,51.5,95.6,76.57,12,64,9.71
212,Upernavik,GL,2022-05-02 09:02:56,72.7868,-56.1549,-1.48,83,6,4.07
213,Havelock,US,2022-05-02 09:00:13,34.8791,-76.9013,70.95,87,100,5.99
214,Ambilobe,MG,2022-05-02 09:02:57,-13.2,49.05,89.71,55,85,1.1
215,La Crosse,US,2022-05-02 09:01:09,43.8014,-91.2396,45.41,83,100,3.0
216,Hami,CN,2022-05-02 09:02:58,42.8,93.45,78.51,6,40,6.6
217,Gunjur,GM,2022-05-02 09:02:58,13.2019,-16.7339,71.67,78,100,13.42
218,Pangkalanbuun,ID,2022-05-02 09:02:59,-2.6833,111.6167,83.91,83,98,2.48
219,Padang,ID,2022-05-02 09:03:00,-0.9492,100.3543,84.25,77,91,2.51
220,Alofi,NU,2022-05-02 09:03:00,-19.0595,-169.9187,81.14,80,100,17.36
221,Dungarpur,IN,2022-05-02 09:03:01,23.8333,73.7167,105.57,12,27,17.2
222,Saint-Augustin,CA,2022-05-02 09:03:02,51.226,-58.6502,32.61,94,100,16.51
223,Sassandra,CI,2022-05-02 09:03:02,4.95,-6.0833,83.66,76,33,4.36
224,Sinnai,IT,2022-05-02 09:03:03,39.3042,9.2036,64.47,54,0,5.75
225,Muncar,ID,2022-05-02 09:03:04,-8.4333,114.3333,84.6,77,85,7.7
226,Vao,NC,2022-05-02 09:03:04,-22.6667,167.4833,75.54,87,39,14.16
227,Sahuaripa,MX,2022-05-02 09:01:43,29.05,-109.2333,64.49,36,0,6.08
228,Wukari,NG,2022-05-02 09:04:05,7.85,9.7833,87.87,58,100,9.98
229,Viedma,AR,2022-05-02 09:04:06,-40.8135,-62.9967,46.35,86,100,7.94
230,Svobodnyy,RU,2022-05-02 09:04:07,51.4,128.1333,45.91,78,100,12.86
231,Korla,CN,2022-05-02 09:04:08,41.7597,86.1469,78.84,12,0,21.07
232,Krasnoselkup,RU,2022-05-02 09:04:08,65.7,82.4667,32.13,100,59,3.96
233,Sosua,DO,2022-05-02 09:04:09,19.7667,-70.5167,69.22,82,100,3.24
234,Guerrero Negro,MX,2022-05-02 09:04:10,27.9769,-114.0611,57.42,89,7,10.27
